t,caffeine_servings,stress_vas,sleep_quality_vas,fatigue_score,pain_nrs,active_minutes,irritability_index,reaction_time_ms,social_contacts
0.5899,3,55.98,42.27,2.693,2.934,51.03,-0.317,329.09,0
1.6942,2,53.80,50.26,3.753,2.273,44.72,0.675,311.80,5
2.6869,4,53.63,44.09,3.956,4.485,56.32,1.165,323.38,3
4.6848,0,60.28,63.90,4.526,3.574,56.85,0.442,306.00,5
6.7612,3,64.68,72.42,5.585,3.214,33.87,1.112,319.68,4
7.3724,3,54.83,75.94,5.160,3.139,42.29,1.118,335.98,2
8.2867,1,40.71,71.17,4.705,3.767,60.53,1.237,341.18,4
10.6817,4,48.77,29.42,5.150,5.640,47.38,1.049,323.79,1
11.3588,4,38.33,17.29,5.865,3.553,50.73,0.256,337.74,1
12.5072,4,55.65,56.84,6.030,4.098,50.96,1.433,324.09,6
13.5297,5,62.80,27.85,6.045,4.870,42.91,-0.160,330.27,5
14.3009,3,92.07,54.67,6.701,3.974,39.19,0.580,330.43,3
15.5087,1,62.12,76.22,5.844,4.835,32.40,1.030,371.92,3
16.7090,3,46.48,49.78,4.311,3.178,52.87,1.427,347.68,5
17.5582,0,29.15,79.61,4.392,3.771,58.76,1.024,349.44,4
18.6716,1,49.74,58.63,5.165,4.114,68.36,0.275,328.21,2
19.7716,1,47.17,42.00,7.746,4.229,53.14,-0.164,339.43,3
20.3142,2,70.51,82.79,6.662,3.984,58.51,0.613,373.09,1
21.2585,4,51.64,50.83,7.145,4.000,65.54,-1.249,323.33,5
22.4537,1,56.24,18.77,8.329,5.187,55.27,-0.369,344.97,7
24.3549,4,27.71,47.39,8.377,6.460,38.44,-0.217,341.21,7
25.2632,4,39.04,34.47,8.221,4.411,34.44,0.995,350.85,4
26.7948,1,43.25,47.83,7.200,4.957,49.93,-0.684,352.48,4
28.4447,3,46.29,63.35,6.150,4.666,64.10,-0.568,320.34,8
29.5429,4,65.71,58.57,6.200,4.370,51.66,-0.023,359.18,5
30.2500,2,58.42,77.94,5.025,4.608,42.96,-0.786,343.56,8
31.7556,0,80.42,53.43,1.402,4.233,48.18,-0.148,313.84,1
32.4752,2,70.70,42.20,2.269,3.406,46.35,0.646,311.81,4
33.4927,6,51.19,35.03,3.804,3.086,38.97,1.819,327.62,6
34.7042,2,69.84,43.73,3.086,1.434,39.70,1.478,332.63,2
35.7477,5,29.31,49.78,3.757,3.134,58.63,1.376,353.31,1
36.6761,5,51.95,41.48,6.593,0.808,52.15,-0.274,325.45,1
37.5551,3,48.43,55.39,6.309,2.731,42.30,-0.989,324.23,3
38.2559,13,64.62,62.84,6.213,1.541,60.83,-0.748,328.26,3
41.2673,3,62.54,41.79,4.020,2.346,63.15,-0.906,300.39,5
42.7955,2,78.97,39.65,7.320,3.742,43.83,-0.136,368.12,1
43.6764,4,74.60,54.59,9.937,4.370,53.26,1.792,383.23,1
44.4618,3,76.17,35.19,6.597,4.803,42.81,0.851,362.07,2
45.6271,2,59.45,32.04,7.908,5.211,39.28,0.935,349.78,0
46.5109,4,64.07,63.85,8.293,5.820,47.67,1.729,386.03,0
47.7295,1,30.50,82.01,7.804,4.175,22.47,1.180,381.03,2
48.4668,2,53.91,77.37,5.485,4.370,35.71,0.372,360.14,3
49.4536,2,60.18,54.99,7.187,3.149,39.96,0.420,345.86,2
50.7084,7,42.00,36.58,7.354,4.772,47.10,0.980,364.02,6
51.4865,2,66.80,35.02,5.617,4.573,50.22,0.596,351.64,0
53.4652,1,22.80,44.74,6.112,1.784,38.97,0.999,345.34,3
55.6636,4,25.29,40.53,5.780,0.479,49.17,-0.508,344.62,3
56.7683,2,22.23,82.45,3.832,2.617,58.30,-0.037,325.50,4
57.5816,6,35.58,71.25,4.603,2.398,50.86,-0.646,296.49,4
58.2047,2,27.46,71.52,4.142,3.339,43.22,-1.313,299.95,4
59.2426,4,32.05,72.80,2.156,3.405,44.58,-1.706,289.32,3
60.7190,2,22.90,94.10,1.803,0.641,63.28,-1.230,274.06,6
61.5078,1,15.87,89.23,0.690,0.056,77.82,-1.623,272.58,4
62.4281,3,30.23,66.26,-1.406,-0.059,71.48,-1.271,288.26,9
63.4789,4,49.87,56.51,2.564,1.431,40.00,-0.915,264.61,1
64.7756,7,46.88,75.65,3.645,-0.137,50.81,-0.935,302.97,5
65.7928,2,63.04,54.77,3.211,0.025,60.30,-0.647,304.71,7
66.5370,3,76.93,60.52,5.574,3.037,58.89,-0.755,316.88,7
67.2830,2,72.83,69.48,5.099,3.539,57.40,-0.891,333.05,8
68.2422,3,41.93,63.47,5.395,4.429,51.27,0.615,312.65,7
69.3989,2,62.24,69.81,8.305,5.476,40.87,0.541,332.24,3
73.6126,2,66.64,55.13,6.671,5.357,48.18,0.803,351.13,3
74.4825,6,76.31,72.59,7.484,5.983,35.58,1.437,338.37,1
75.5463,1,71.93,42.84,4.659,3.604,42.21,1.605,342.86,1
76.2902,4,64.87,82.93,4.604,6.376,49.24,1.585,362.29,1
77.7903,1,73.44,54.43,4.315,4.127,63.08,2.101,338.76,1
78.3274,4,62.33,33.67,5.757,5.466,61.53,1.249,329.77,1
79.6485,3,25.17,54.94,5.170,3.874,57.81,0.607,350.97,2
80.3093,2,52.70,44.22,4.513,3.362,57.22,0.503,319.00,0
82.2070,7,60.50,66.76,3.902,2.414,53.77,-0.390,298.90,5
83.3332,2,55.57,56.26,5.063,2.802,53.01,-0.830,310.63,3
85.3111,7,54.05,55.36,7.275,5.523,48.60,0.347,352.44,1
86.4840,7,32.68,68.39,5.408,3.148,44.51,-0.175,351.72,13
87.3356,0,28.45,65.24,6.446,3.218,55.12,-1.068,346.28,6
88.2124,2,25.89,70.84,5.724,4.605,31.03,0.586,304.18,1
89.6755,2,41.15,85.11,5.022,3.141,52.50,-1.196,310.15,6
90.2260,7,30.61,76.28,4.546,2.785,47.77,0.299,304.40,2
92.5981,5,13.34,82.05,0.926,2.846,69.36,-0.941,308.06,2
93.6548,6,27.93,67.41,0.964,0.565,69.74,-1.283,286.99,3
94.5032,9,7.30,93.40,1.473,1.375,63.11,-2.580,259.82,3
95.4305,1,19.63,76.43,-1.121,1.329,69.09,-1.965,261.81,1
96.2204,5,26.83,90.92,-0.655,-0.400,64.80,-1.695,266.76,6
97.3754,1,65.05,49.77,0.472,0.131,46.74,-1.219,262.78,14
99.5436,1,58.13,35.37,4.914,2.637,52.34,-0.852,306.33,12
101.4433,5,48.16,62.82,7.141,3.175,50.95,-1.253,329.44,6
102.3077,6,64.39,48.22,6.877,4.860,38.68,-0.638,332.00,5
103.4459,5,54.38,78.81,7.683,5.719,24.88,1.626,343.50,1
104.4308,2,54.04,58.71,5.125,4.851,42.53,0.870,351.99,2
106.4275,3,53.07,72.53,3.650,4.639,34.36,-0.123,359.36,1
107.6276,9,33.13,73.56,4.339,3.986,62.40,0.255,334.62,3
109.6358,5,48.84,49.71,3.714,2.606,44.27,0.128,285.39,3
110.3861,5,34.02,78.44,3.898,3.928,45.43,-0.017,299.58,5
112.2803,3,32.36,51.46,4.314,3.983,54.59,-0.083,310.50,3
113.2603,2,24.66,79.28,3.654,2.853,48.30,0.256,334.10,7
115.2274,4,69.50,72.18,5.821,4.050,44.96,0.422,321.08,5
116.6667,3,67.10,43.80,7.646,4.781,40.04,0.826,342.92,3
117.6380,5,40.42,32.71,8.305,5.618,50.50,0.623,364.33,3
118.6203,2,45.94,49.61,5.019,5.303,38.38,0.340,374.82,6
