t,water_temp_C,nitrate_mgL,turbidity_NTU,fdom_QSU,chl_a_ugL,do_sat_pct,ph,zoop_count
0.6653,20.51,0.726,4.0,35.7,15.5,78.82,8.19,58
0.8845,20.66,0.633,9.6,38.6,16.3,77.77,8.09,64
0.9741,19.19,0.637,6.7,37.4,14.9,81.15,8.06,47
1.4650,20.32,0.664,13.3,39.7,14.6,72.72,8.23,58
1.8775,21.42,0.693,10.4,39.8,11.2,68.17,7.94,51
2.9073,25.22,0.533,11.3,39.1,12.3,85.43,7.66,62
3.2774,22.52,0.547,7.5,37.9,12.3,72.92,7.64,38
3.8548,23.2,0.483,6.2,33.3,7.0,75.37,7.57,42
4.2651,20.24,0.395,14.3,30.9,11.8,80.33,7.73,31
4.9030,21.87,0.361,9.9,23.9,15.5,79.24,7.93,35
4.9558,22.03,0.342,8.2,23.3,15.8,74.69,8.2,30
5.3794,22.33,0.35,9.3,21.8,11.0,74.2,8.37,42
6.0552,22.2,0.287,11.6,19.9,17.1,76.87,8.04,51
6.1870,22.89,0.282,10.6,19.3,18.5,75.05,7.98,49
8.2081,23.26,0.482,21.3,22.1,12.6,77.12,7.89,52
9.0906,23.65,0.511,14.9,23.4,16.6,76.83,7.58,40
9.2495,23.3,0.464,17.4,23.5,12.8,78.31,7.38,43
10.9788,24.12,0.359,17.6,21.4,14.8,81.59,8.4,63
11.3541,23.74,0.333,19.0,22.3,19.3,80.24,8.29,73
11.6049,22.4,0.33,25.3,23.4,18.1,76.42,8.15,69
11.8985,21.3,0.366,21.2,28.4,12.9,85.37,7.83,63
12.5238,19.47,0.467,12.4,31.9,16.4,83.38,8.01,44
13.0407,23.85,0.401,10.9,31.6,16.9,82.02,8.05,32
13.5811,24.31,0.434,12.0,34.1,21.6,69.71,8.22,55
14.2096,21.11,0.434,7.4,33.1,23.4,74.59,8.16,43
15.0986,22.74,0.516,21.2,28.3,20.2,75.95,8.36,47
15.4750,23.98,0.585,20.0,27.2,19.0,74.12,8.52,59
16.0647,23.18,0.595,16.7,34.8,19.7,77.34,8.05,54
17.3272,22.85,0.558,13.9,40.0,20.0,78.99,7.99,85
